"Customer Name","Product Pillar","Product Line","Product Name","Product Description","Metric","Quantity","Install Status","Contract ARR","Contract Start Date","Contract End Date","Purchase Amount","Purchase Start Date","Order Number","SRs","Registry Id","CSI#","Contract Number","Purchase Level"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","Processor Perpetual","23","ACTIVE","83824","2022-05-04","2023-05-03","284442","2016-05-09","58488","1","3630102","20638247","10265379","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Java","Java SE - Subscription","Oracle Java SE Subscription - Processor","Processor","352","ACTIVE","81656","2021-03-30","2023-03-29","0","2021-03-30","38374978","0","3630102","22908738","20928063","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Java","Java SE - Subscription","Oracle Java SE Desktop Subscription - Named User Plus","Named User Plus","1831","ACTIVE","38228","2021-03-30","2023-03-29","0","2021-03-30","38374978","0","3630102","22908738","20928063","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","Processor Perpetual","4","ACTIVE","26727","2022-01-01","2022-12-31","47832","2004-05-13","28381","1","3630102","14012920","2618101","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","Processor Perpetual","5","ACTIVE","19098","2022-04-30","2023-04-29","86809","2022-04-30","40267557","1","3630102","24755365","21048334","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Multitenant","Oracle Multitenant - Processor Perpetual","Processor Perpetual","12","ACTIVE","16113","2022-05-04","2023-05-03","54677","2016-05-09","58488","0","3630102","20638247","10265379","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","Processor Perpetual","2","ACTIVE","14713","2022-01-01","2022-12-31","23916","2003-08-01","26091","1","3630102","13462293","2618101","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","Processor Perpetual","25","ACTIVE","14387","2022-05-04","2023-05-03","48820","2016-05-09","58488","0","3630102","20638247","10265379","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","Processor Perpetual","25","ACTIVE","9591","2022-05-04","2023-05-03","32544","2016-05-09","58488","0","3630102","20638247","10265379","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","Processor Perpetual","4","ACTIVE","9545","2022-01-01","2022-12-31","17083","2004-05-13","28381","0","3630102","14012920","2618101","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Advanced Compression","Oracle Advanced Compression - Processor Perpetual","Processor Perpetual","10","ACTIVE","9247","2022-04-30","2023-04-29","42034","2022-04-30","40267557","0","3630102","24755365","21048334","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","Processor Perpetual","10","ACTIVE","8823","2022-05-04","2023-05-03","29940","2016-05-09","58488","0","3630102","20638247","10265379","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","Processor Perpetual","2","ACTIVE","8594","2022-01-01","2022-12-31","23744","2007-12-18","39266","1","3630102","15696817","2618101","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","Processor Perpetual","1","ACTIVE","6598","2022-01-01","2022-12-31","11872","2008-01-16","39413","1","3630102","15706725","SUNBR4679786","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Options License","Multitenant","Oracle Multitenant - Processor Perpetual","Processor Perpetual","4","ACTIVE","5629","2022-04-30","2023-04-29","25586","2022-04-30","40267557","0","3630102","24755365","21048334","FULL USE"
