"Customer Name","Product Line","Product Name","Product Description","Quantity","Quantity Type","Purchase Amount (CD)","Purchase Start Date","Order Number","Contract Start Date","Contract End Date","Contract ARR (CD)","SRs","CSI#","Purchase Level","Purchase Type"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","138","N/A","1869274","2019-05-30","33673","2021-06-21","2022-06-20","492984","0","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","54","N/A","1023580","2020-10-21","35096","2021-10-21","2022-10-20","236447","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","56","N/A","881955","2020-06-02","34763","2021-06-02","2022-06-20","223135","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","118","N/A","773945","2019-05-30","33673","2021-06-21","2022-06-20","204113","1","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","52","N/A","684088","2017-05-15","31861","2021-06-21","2022-06-20","192453","0","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","76","N/A","748579","2008-12-31","21772","2021-06-21","2022-06-20","183500","0","16147747","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","44","N/A","782855","2021-05-26","35727","2021-05-26","2022-05-25","172228","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","40","N/A","597332","2018-01-04","32308","2021-06-21","2022-06-20","166708","0","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","32","N/A","492973","2015-05-29","29950","2021-06-21","2022-06-20","137956","0","20064748","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","54","N/A","495628","2020-10-21","35096","2021-10-21","2022-10-20","114490","1","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","56","N/A","427052","2020-06-02","34763","2021-06-02","2022-06-20","108044","1","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","80","N/A","362470","2008-12-31","21772","2021-06-21","2022-06-20","93529","1","16147747","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","52","N/A","331242","2017-05-15","31861","2021-06-21","2022-06-20","93188","1","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","16","N/A","324440","2017-05-24","31882","2021-06-21","2022-06-20","91159","0","21220282","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","44","N/A","287857","2019-05-10","33610","2021-06-21","2022-06-20","89071","0","22321884","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Testing","Oracle Real Application Testing - Processor Perpetual","101","N/A","331222","2019-05-30","33673","2021-06-21","2022-06-20","87353","0","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","44","N/A","379067","2021-05-26","35727","2021-05-26","2022-05-25","83395","1","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","40","N/A","289235","2018-01-04","32308","2021-06-21","2022-06-20","80722","1","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Security","Oracle Advanced Security - Processor Perpetual","54","N/A","323236","2020-10-21","35096","2021-10-21","2022-10-20","74667","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Security","Oracle Advanced Security - Processor Perpetual","56","N/A","278512","2020-06-02","34763","2021-06-02","2022-06-20","70464","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Multitenant","Oracle Multitenant - Processor Perpetual","44","N/A","288420","2021-05-26","35727","2021-05-26","2022-05-25","63452","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","12","N/A","282581","2021-08-05","38377644","2021-08-05","2022-08-04","62168","0","23713358","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Security","Oracle Advanced Security - Processor Perpetual","52","N/A","216028","2017-05-15","31861","2021-06-21","2022-06-20","60774","0","21205510","FULL USE",""
